Provider,PotentialFraud,FraudLabel,TotalClaims,TotalReimbursed,AvgReimbursed,MaxReimbursed,TotalDeductible,AvgDeductible,AvgReimbRatio,AvgClaimDuration,MaxClaimDuration,AvgDaysInHospital,TotalDaysInHospital,AvgPatientAge,AvgChronicConds,SameAttendOperCount,DeceasedPatientCount,InpatientClaimCount,UniquePatients,UniqueAttendPhys,UniqueOperPhys,UniqueDiagnoses,UniqueProcedures,OutpatientClaimCount,InpatientRatio,PatientsPerClaim,PhysiciansPerClaim,SameAttendOperRate,DeceasedPatientRate,Diag_4019,Diag_4011,Diag_2724,Diag_2720,Diag_2722,Diag_2721,Diag_2723,Diag_78659,Diag_42731,Diag_78650,Diag_7802,Diag_78651,Diag_25000,Diag_42789,Diag_42781,Diag_V5789,Diag_41401,Diag_78079,Diag_486,Diag_42732,Diag_185,Diag_4271,Diag_4279,Diag_42769,Diag_42761,Diag_7915,Diag_V4585,Diag_79029,Diag_79021,Diag_7850,Diag_7851,Diag_79022,Diag_4270,Diag_7916,Diag_24900,Diag_25001,Diag_42760,Diag_49121,Diag_4272,Diag_V6546,Diag_5990,Diag_V5391,Diag_4280,Diag_78071,Diag_V1046,Diag_2334,Diag_V5861,Diag_V562,Diag_5854,Diag_5859,Diag_5856,Diag_V5869,Diag_V420,Diag_V5632,Diag_5853,Diag_0389,Diag_7925,Diag_V560,Diag_5855,Diag_V561,Diag_V4512,Diag_V568,Diag_V5631,Diag_V4511,Diag_5849,Diag_71536,Diag_3320,Diag_41071,Diag_28521,Diag_43491,Diag_27651,Diag_73300,Diag_41400,Diag_42823,Diag_49122,Diag_496,Diag_2859,Diag_2809,Diag_V5883,Diag_73301,Diag_340,Diag_4660,Diag_73309,Diag_V5721,Diag_V528,Diag_42833,Diag_V579,Diag_V538,Diag_73302,Diag_78900,Diag_4919,Diag_V529,Diag_V524,Diag_V571,Diag_V4581,Diag_V520,Diag_V574,Diag_V573,Diag_V5866,Diag_412,Proc_9904,Proc_8154,Proc_66,Proc_3893,Proc_3995,Proc_4516,Proc_3722,Proc_8151,Proc_8872,Proc_9671,Proc_4513,Proc_9390,Proc_9672,Proc_5123,Proc_7935,Proc_8152,Proc_9339,Proc_3812,Proc_3491,Proc_3950,Proc_3772,Proc_8108,Proc_4523,Proc_309,Proc_387,Proc_9921,Proc_8622,Proc_7915,Proc_4525,Proc_5491,Proc_8703,Proc_4311,Proc_9604,Proc_5794,Proc_3324,Proc_6029,Proc_8102,Proc_3783,Proc_3612,Proc_3723,Proc_9929,Proc_3895,Proc_3613,Proc_331,Proc_8604,Proc_8051,Proc_4573,Proc_3521,Proc_8659,Proc_4542,Proc_4443,Proc_9925,Proc_4576,Proc_8891,Proc_3929,Proc_7936,Proc_5459,Proc_9462,Proc_4562,Proc_3971,Proc_9955,Proc_9907,Proc_311,Proc_5122,Proc_3794,Proc_51,Proc_8191,Proc_605,Proc_8180,Proc_9607,Proc_3404,Proc_966,Proc_3734,Proc_8801,Proc_9915,Proc_6849,Proc_5749,Proc_7855,Proc_8628,Proc_9952,Proc_7749,Proc_8741,Proc_5551,Proc_8411,Proc_9962,Proc_3327,Proc_598,Proc_8627,Proc_131,Proc_4131,Proc_8944,Proc_3249,Proc_9394,Proc_9961,Proc_5185,Proc_80,Proc_6859,Proc_3611,Proc_3771,Proc_8877
PRV51015,No,0,8,700,87.5,200,0.0,0.0,87.5,0.375,3,0.0,0,71.625,6.375,1,0,0,7,3,1,8,1,8,0.0,0.875,0.375,0.125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51016,No,0,6,170,28.333333333333332,90,0.0,0.0,28.333333333333332,0.3333333333333333,2,0.0,0,70.5,5.5,1,0,0,6,3,1,6,1,6,0.0,1.0,0.5,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51017,No,0,515,142720,277.126213592233,3300,1050.0,2.0388349514563107,271.62658165040784,1.3572815533980582,20,0.0,0,72.14368932038835,4.36504854368932,46,5,0,420,113,46,411,3,515,0.0,0.8155339805825242,0.21941747572815534,0.08932038834951456,0.011904761904761904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51021,Yes,1,257,348830,1357.3151750972763,57000,31492.0,122.53696498054475,294.727694099227,2.0,20,0.5369649805447471,138,72.58365758754864,4.715953307392996,4,1,29,208,69,30,219,15,228,0.11284046692607004,0.8093385214007782,0.26848249027237353,0.01556420233463035,0.004807692307692308,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51023,No,0,36,65610,1822.5,13000,8624.0,239.55555555555554,405.7868172888268,3.6666666666666665,20,0.8888888888888888,32,72.75,4.361111111111111,5,0,9,35,14,8,35,6,27,0.25,0.9722222222222222,0.3888888888888889,0.1388888888888889,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51024,No,0,39,64050,1642.3076923076924,13000,9702.0,248.76923076923077,59.7883101862074,1.641025641025641,20,1.0,39,68.02564102564102,4.717948717948718,4,0,9,38,13,5,36,8,30,0.23076923076923078,0.9743589743589743,0.3333333333333333,0.10256410256410256,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51025,No,0,87,118350,1360.344827586207,17000,14284.0,164.183908045977,370.26008316776324,2.1724137931034484,28,1.0459770114942528,91,73.51724137931035,4.436781609195402,12,0,13,76,35,15,81,10,74,0.14942528735632185,0.8735632183908046,0.40229885057471265,0.13793103448275862,0.0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51026,No,0,76,19840,261.05263157894734,3300,340.0,4.473684210526316,253.4320636612978,1.0921052631578947,20,0.0,0,69.5657894736842,4.078947368421052,6,1,0,56,29,10,70,1,76,0.0,0.7368421052631579,0.3815789473684211,0.07894736842105263,0.017857142857142856,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51027,No,0,53,29840,563.0188679245283,3300,0.0,0.0,563.0188679245283,2.1320754716981134,20,0.0,0,73.0,4.830188679245283,9,1,0,44,10,6,48,1,53,0.0,0.8301886792452831,0.18867924528301888,0.16981132075471697,0.022727272727272728,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRV51029,No,0,93,30660,329.6774193548387,3300,160.0,1.7204301075268817,322.78494790080435,0.6989247311827957,20,0.0,0,70.91397849462365,3.913978494623656,11,1,0,79,38,10,91,1,93,0.0,0.8494623655913979,0.40860215053763443,0.11827956989247312,0.012658227848101266,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
